n,sigma_minus_n,factorization
737,1.10719,"11 × 67"
738,2.21951,"2 × 3^2 × 41"
739,1.00135,"739"
740,2.15676,"2^2 × 5 × 37"
741,1.51147,"3 × 13 × 19"
742,1.74663,"2 × 7 × 53"
743,1.00135,"743"
744,2.58065,"2^3 × 3 × 31"
745,1.20805,"5 × 149"
746,1.50402,"2 × 373"
747,1.46185,"3^2 × 83"
748,2.02139,"2^2 × 11 × 17"
749,1.15354,"7 × 107"
750,2.496,"2 × 3 × 5^3"
751,1.00133,"751"
752,1.97872,"2^4 × 47"
753,1.33865,"3 × 251"
754,1.67109,"2 × 13 × 29"
755,1.20795,"5 × 151"
756,2.96296,"2^2 × 3^3 × 7"
757,1.00132,"757"
758,1.50396,"2 × 379"
759,1.51779,"3 × 11 × 23"
760,2.36842,"2^3 × 5 × 19"
761,1.00131,"761"
762,2.01575,"2 × 3 × 127"
763,1.15334,"7 × 109"
764,1.75916,"2^2 × 191"
765,1.83529,"3^2 × 5 × 17"
766,1.50392,"2 × 383"
767,1.09518,"13 × 59"
768,2.66146,"2^8 × 3"
769,1.0013,"769"
770,2.24416,"2 × 5 × 7 × 11"
771,1.33852,"3 × 257"
772,1.75907,"2^2 × 193"
773,1.00129,"773"
774,2.21705,"2 × 3^2 × 43"
775,1.28,"5^2 × 31"
776,1.89433,"2^3 × 97"
777,1.56499,"3 × 7 × 37"
778,1.50386,"2 × 389"
779,1.07831,"19 × 41"
780,3.01538,"2^2 × 3 × 5 × 13"
781,1.10627,"11 × 71"
782,1.65729,"2 × 17 × 23"
783,1.53257,"3^3 × 29"
784,2.25383,"2^4 × 7^2"
785,1.20764,"5 × 157"
786,2.01527,"2 × 3 × 131"
787,1.00127,"787"
788,1.75888,"2^2 × 197"
789,1.3384,"3 × 263"
790,1.82278,"2 × 5 × 79"
791,1.15297,"7 × 113"
792,2.95455,"2^3 × 3^2 × 11"
793,1.09458,"13 × 61"
794,1.50378,"2 × 397"
795,1.63019,"3 × 5 × 53"
796,1.75879,"2^2 × 199"
797,1.00125,"797"
798,2.40602,"2 × 3 × 7 × 19"
799,1.08135,"17 × 47"
800,2.44125,"2^5 × 5^2"
801,1.46067,"3^2 × 89"
802,1.50374,"2 × 401"
803,1.10585,"11 × 73"
804,2.36816,"2^2 × 3 × 67"
805,1.43106,"5 × 7 × 23"
806,1.66749,"2 × 13 × 31"
807,1.33829,"3 × 269"
808,1.89356,"2^3 × 101"
809,1.00124,"809"
810,2.68889,"2 × 3^4 × 5"
811,1.00123,"811"
812,2.06897,"2^2 × 7 × 29"
813,1.33825,"3 × 271"
814,1.68059,"2 × 11 × 37"
815,1.20736,"5 × 163"
816,2.73529,"2^4 × 3 × 17"
817,1.07711,"19 × 43"
818,1.50367,"2 × 409"
819,1.77778,"3^2 × 7 × 13"
820,2.15122,"2^2 × 5 × 41"
821,1.00122,"821"
822,2.0146,"2 × 3 × 137"
823,1.00122,"823"
824,1.8932,"2^3 × 103"
825,1.80364,"3 × 5^2 × 11"
826,1.74334,"2 × 7 × 59"
827,1.00121,"827"
828,2.63768,"2^2 × 3^2 × 23"
829,1.00121,"829"
830,1.82169,"2 × 5 × 83"
831,1.33815,"3 × 277"
832,2.13702,"2^6 × 13"
833,1.23169,"7^2 × 17"
834,2.01439,"2 × 3 × 139"
835,1.20719,"5 × 167"
836,2.00957,"2^2 × 11 × 19"
837,1.52927,"3^3 × 31"
838,1.50358,"2 × 419"
839,1.00119,"839"
840,3.42857,"2^3 × 3 × 5 × 7"
841,1.03567,"29^2"
842,1.50356,"2 × 421"
843,1.33808,"3 × 281"
844,1.75829,"2^2 × 211"
845,1.29941,"5 × 13^2"
846,2.21277,"2 × 3^2 × 47"
847,1.2562,"7 × 11^2"
848,1.97406,"2^4 × 53"
849,1.33804,"3 × 283"
850,1.96941,"2 × 5^2 × 17"
851,1.07168,"23 × 37"
852,2.3662,"2^2 × 3 × 71"
853,1.00117,"853"
854,1.74239,"2 × 7 × 61"
855,1.82456,"3^2 × 5 × 19"
856,1.89252,"2^3 × 107"
857,1.00117,"857"
